Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Hum Bhi Insaan Hain,1948,131.0,Drama,7.1,16.0,Phani Majumdar,Dev Anand,Ramola,Amir Banu
Hum Bhi Insaan Hain,1989,149.0,"Action, Crime, Drama",5.8,37.0,Manivannan,Sanjay Dutt,Jackie Shroff,Neelam Kothari
Hum Bhi Insaan Hain,1959,131.0,Drama,6.0,25.0,Robin Majumdar,Lata Sinha,Abhi Bhattacharya,Chaman Puri
Hum Bhi Kuch Kam Nahi) We Are No Less,1991,131.0,Drama,6.0,25.0,T. Prakash Rao,Ashok Kumar,Rekha,Pran
Hum Bhi Kuch Kum Nahi,1979,131.0,Action,6.0,25.0,Krishna Ghattamaneni,Vijayalalitha,Rekha,Pran
Hum Bhi Kuchh Kum Nahin,1958,131.0,Drama,6.0,25.0,Ameeta,Sumitra Devi,Majnu,Ranjan
Hum Chaar,2019,143.0,Drama,5.7,286.0,Abhishek Dixit,Prit Kamani,Simran Sharma,Anshuman Malhotra
Hum Deewane Pyar Ke,2001,131.0,Romance,6.0,25.0,Amitava Bhattacharya,Rakesh Bedi,Rohini Hattangadi,Aruna Irani
Hum Dil De Chuke Sanam,1999,177.0,"Comedy, Drama, Musical",7.5,17.0,Sanjay Leela Bhansali,Aishwarya Rai Bachchan,Salman Khan,Ajay Devgn
Hum Diwane,1965,131.0,Drama,6.0,25.0,Master Bhagwan,Mumtaz,Chandrashekhar,Agha
Hum Do Anjaane,2011,131.0,"Action, Crime, Drama",3.3,15.0,Milind Swamy,Naresh Kaura,Ankita Bhargava Patel,Jackie Shroff
Hum Do Bhagode,2011,158.0,Comedy,6.0,25.0,Rajeev Jaitly,Manoj Bakshi,Kavita Joshi,Pratap Kumar
Hum Do Bundlebaaz,1995,131.0,Action,6.0,25.0,N.S. Vaidya,Laxmikant Berde,Roohi Berde,Vijay Chavan
Hum Do Daaku,1967,131.0,Comedy,6.0,25.0,Kishore Kumar,Kishore Kumar,Anoop Kumar,Ganga
Hum Do Hamare Do,1984,131.0,"Drama, Family",5.2,11.0,B.R. Ishara,Raj Babbar,Smita Patil,Shoma Anand
Hum Dono,1985,156.0,"Comedy, Family, Musical",6.6,56.0,B.S. Glaad,Rajesh Khanna,Hema Malini,Reena Roy
Hum Dono,1961,164.0,"Drama, Musical, Romance",7.5,394.0,Amarjeet,Dev Anand,Nanda,Sadhana
Hum Dono,1995,154.0,"Action, Comedy, Thriller",6.3,192.0,Shafi Inamdar,Rishi Kapoor,Nana Patekar,Pooja Bhatt
Hum Dum,2005,131.0,"Comedy, Romance",6.9,99.0,Kushan Nandy,Romit Raj,Anjana Sukhani,Benjamin Gilani
Hum Ek Hain,1946,121.0,Drama,7.1,28.0,P.L. Santoshi,Durga Khote,Kamala Kotnis,Dev Anand
Hum Ek Hain,1969,131.0,"Action, Drama",6.0,25.0,Daljeet,Balraj Sahni,Dara Singh,Nirupa Roy
Hum Ek Hain,1982,131.0,Drama,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Hum Farishte Nahin,1988,131.0,"Action, Thriller",4.7,15.0,Jatin Kumar,Raj Babbar,Om Puri,Deepak Seth
Hum Hai Raahi CAR Ke,2013,131.0,"Comedy, Romance",3.0,145.0,Jyotin Goel,Dev Goel,Adah Sharma,Sanjay Dutt
Hum Hai Teen Khurafaati,2014,126.0,Comedy,6.2,10.0,Sudhish Kumar Sharma,Muntazir Ahmad,Manoj Bakshi,Sheet Chhabra
Hum Hain Bemisaal,1994,145.0,"Action, Crime, Drama",4.8,586.0,Deepak Bahry,Deepak Bahry,Akshay Kumar,Sunil Shetty
Hum Hain Bharatwasi,2002,131.0,Action,6.0,25.0,Majeed Khan,Imran Khan,Neha Sharad,Radha Tripathi
Hum Hain Kamaal Ke,1993,142.0,"Action, Comedy, Crime",5.5,177.0,Vijay Reddy,Sheeba,Sujoy Mukherjee,Kader Khan
Hum Hain Karan Arjun,1994,131.0,Action,5.7,10.0,E.V.V. Satyanarayana,Nagarjuna Akkineni,Ramya Krishnan,Charan Raj
Hum Hain Khalnayak,1996,131.0,Action,6.0,25.0,R. Thakur,Arjun,Rajni Bala,Kishore Anand Bhanushali
Hum Hain Lajawaab,1984,131.0,"Action, Comedy, Drama",4.4,18.0,Mohan Segal,Kumar Gaurav,Padmini Kolhapure,Monty Nath
Hum Hain Premi,1996,131.0,Romance,6.0,25.0,Ajay Dixit,Mahesh Anand,Tinnu Anand,Bindu
Hum Hain Pyaar Mein,2002,131.0,"Drama, Romance",3.2,6.0,Kesar Matharu,Ram Asra,Neelima Azim,Hemant Birje
Hum Hain Rahi Pyar Ke,1993,163.0,"Comedy, Drama, Romance",7.4,5.0,Mahesh Bhatt,Aamir Khan,Juhi Chawla,Sharokh Bharucha
Hum Hindustani,1960,131.0,"Drama, Family",7.2,55.0,Ram Mukherjee,Sunil Dutt,Joy Mukherjee,Asha Parekh
Hum Ho Gaye Aap Ke,2001,168.0,"Drama, Musical, Romance",4.2,399.0,Ahathian,Sunil Kumar Agrawal,Fardeen Khan,Reema Sen
Hum Hum Hain,2021,113.0,Drama,6.0,25.0,Bijendra Singh,Nakul Gill,Pentali Sen,Sandeep Yadav
Hum Intezaar Karenge,1989,131.0,"Drama, Romance",5.5,25.0,Prabhat Roy,Mithun Chakraborty,Padmini Kolhapure,Vinod Mehra
Hum Junglee Hain,1973,131.0,Action,6.0,25.0,P. Subramanyam,Kiran Kumar,Manisha,Arpana Choudhary
Hum Kahan Ja Rahe Hain,1966,131.0,Drama,6.0,25.0,Nitin Bose,Prakash,Neena,Abhi Bhattacharya
Hum Kaun Hai?,2004,119.0,"Horror, Drama, Mystery",3.6,322.0,Ravi Sharma Shankar,Amitabh Bachchan,Dimple Kapadia,Dharmendra
Hum Kisi Se Kum Nahin,2002,161.0,"Action, Comedy, Drama",4.4,1.0,David Dhawan,Amitabh Bachchan,Sanjay Dutt,Asad Aleem
Hum Kisise Kum Naheen,1977,169.0,"Action, Comedy, Drama",7.2,477.0,Nasir Hussain,Rishi Kapoor,Tariq,Kaajal Kiran
Hum Log,1951,144.0,Drama,6.5,15.0,Zia Sarhadi,Nutan,Shyama,Durga Khote
Hum Matwale Naujawan,1961,131.0,"Drama, Family",6.0,25.0,L. Rasthana,Shekhar,Sayeeda Khan,Jeevan
Hum Nahin Jhukenge,1985,131.0,Action,6.0,25.0,C.V. Rajendran,Leena Das,Geetha,Jayamalini
Hum Nahin Sudhrenge,1980,122.0,"Comedy, Crime, Drama",5.6,11.0,Asrani,Asrani,Yogeeta Bali,Rita Bhaduri
Hum Naujawan,1985,137.0,"Drama, Thriller",5.3,69.0,Dev Anand,Dev Anand,Bunty Behl,Richa Sharma
Hum Paagal Premee,1982,125.0,Romance,6.0,25.0,Mohan Bijlani,Mohan Bilani,Prem Krishan,Kaajal Kiran
Hum Paanch,1980,163.0,"Action, Drama",6.5,189.0,Bapu,Sanjeev Kumar,Shabana Azmi,Mithun Chakraborty
Hum Panchhi Ek Daal Ke,1957,131.0,Drama,6.7,11.0,P.L. Santoshi,Master Romi,Satish Vyas,Daisy Irani
Hum Panchi Ek Daal Ke,2003,131.0,"Adventure, Fantasy",4.7,16.0,Lateef Binny,Aishwarya Rai Bachchan,Ashutosh Rana,Sunil Shetty
Hum Phirr Milein Na Milein,2009,131.0,"Drama, Romance",4.0,7.0,Manish Goel,Sarvar Ahuja,Kkhushi,Vikram Gokhale
Hum Pyar Tumhi Se Kar Baithe,2002,138.0,"Musical, Romance",5.7,46.0,Mohan Singh Rathor,Jugal Hansraj,Tina Rana,Sachin Khedekar
Hum Rahe Na Hum,1984,131.0,Drama,6.4,12.0,Chetan Anand,Ketan Anand,Vijay Anand,Shabana Azmi
Hum Saath-Saath Hain: We Stand United,1999,177.0,"Drama, Musical",6.3,7.0,Sooraj R. Barjatya,Mohnish Bahl,Salman Khan,Saif Ali Khan
Hum Sab Chor Hain,1995,143.0,"Action, Drama, Romance",3.5,37.0,Ambrish Sangal,Jeetendra,Dharmendra,Kamal Sadanah
Hum Sab Chor Hain,1973,131.0,"Action, Crime, Thriller",6.0,25.0,Maruti,Dara Singh,Sheikh Mukhtar,Shabnam
Hum Sab Ek Hain,1968,131.0,Drama,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Hum Sab Ullu Hain,2015,131.0,Comedy,6.0,25.0,Tariq Bhat,Rakesh Bedi,Gavie Chahal,Dinesh Hingoo
Hum Sab Ustad Hain,1965,131.0,"Action, Comedy",6.7,22.0,Maruti,Kishore Kumar,Dara Singh,Sheikh Mukhtar
Hum Se Badkar Kaun,1981,131.0,"Adventure, Drama",6.0,42.0,Deepak Bahry,Birbal,Mithun Chakraborty,Mohan Choti
Hum Se Hai Zamana,1983,119.0,Action,6.0,47.0,Deepak Bahry,Mithun Chakraborty,Zeenat Aman,Danny Denzongpa
Hum Se Mile Tum,1984,131.0,Romance,6.0,25.0,Jatin Kumar,Madan Puri,Satyajeet,Pooja Saxena
Hum Se Na Takrana,1990,145.0,"Action, Crime, Drama",4.5,48.0,Deepak Bahry,Dharmendra,Mithun Chakraborty,Anita Raj
Hum Sey Hai Jahaan,2008,131.0,Romance,3.5,18.0,Mashhoor Amrohi,Mashhoor Amrohi,Prem Chopra,Govinda
Hum Tere Ashiq Hain,1979,131.0,Drama,6.5,24.0,Prem Sagar,Jeetendra,Hema Malini,Amjad Khan
Hum To Chale Pardes,1988,137.0,Drama,5.8,19.0,Ravindra Peepat,Shashi Kapoor,Mandakini,Rajiv Kapoor
Hum To Mohabbat Karega,2000,153.0,"Action, Comedy, Romance",2.7,384.0,Kundan Shah,Karisma Kapoor,Bobby Deol,Rohit Roy
Hum Tum,2004,143.0,"Comedy, Drama, Romance",7.0,13.0,Kunal Kohli,Saif Ali Khan,Rani Mukerji,Kirron Kher
Hum Tum Aur Ghost,2010,125.0,"Comedy, Drama, Fantasy",4.7,673.0,Kabeer Kaushik,Arshad Warsi,Dia Mirza,Boman Irani
Hum Tum Aur Mom: Mother Never Misguides,2005,134.0,Drama,4.6,42.0,Ashok Nanda,Raj Vasudeva,Krishna Abhishek,Mohnish Bahl
Hum Tum Aur Woh,1971,142.0,Drama,5.9,10.0,Shiv Kumar,Ashok Kumar,Vinod Khanna,Bharti
Hum Tum Dushman Dushman,2015,114.0,"Drama, War",6.4,18.0,Iqbal Durrani,Mashaal Durrani,Sohini Pal,Mukesh Rishi
Hum Tum Pe Marte Hain,1999,165.0,"Comedy, Drama, Romance",5.3,488.0,Nabh Kumar 'Raju',Govinda,Urmila Matondkar,Dimple Kapadia
Hum Tum Shabana,2011,126.0,"Comedy, Crime, Drama",3.6,291.0,Sagar Ballary,Tusshar Kapoor,Shreyas Talpade,Minissha Lamba
Hum Tumhare Hain Sanam,2002,174.0,"Drama, Romance",5.4,6.0,K.S. Adiyaman,Shah Rukh Khan,Madhuri Dixit,Salman Khan
Hum Tumhe Yaad Aayenge,2000,131.0,Romance,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Hum Tumko Dekh Lenge,1981,131.0,Drama,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Huma Gun Anmogaldi,1942,131.0,Drama,6.0,25.0,Mehboob Khan,Ashok Kumar,Rekha,Pran
Humayun,1945,118.0,"Drama, History",7.5,46.0,Mehboob Khan,Ashok Kumar,Veena,Nargis
Humdard,1953,131.0,Drama,6.0,25.0,Smriti Biswas,Yashodra Katju,Nimmi,Shekhar
Humdard,1981,131.0,Romance,6.0,25.0,Mohammed Hanif,Mazhar Khan,Deepti Naval,Tariq Shah
Humdum,1984,131.0,Drama,6.0,25.0,Krishna Malik,Birbal,Chandrashekhar,Sudhir Dalvi
Hume Jeene Do,2018,52.0,Drama,6.0,25.0,Anugrah Agnihotri,Anugrah Agnihotri,Rahmat Ali,Shiv Kumar
Hume Toh Loot Liya,2016,131.0,Comedy,6.0,25.0,Surendra Verma,Tinnu Anand,Manoj Joshi,Mushtaq Khan
Hume Tumse Pyaar Kitna,2019,91.0,"Action, Drama, Romance",4.9,115.0,Lalit Mohan,Karanvir Bohra,Priya Banerjee,Mahesh Balraj
Humein Tumse Pyar Ho Gaya Chupke Chupke,2003,135.0,Drama,1.7,27.0,Pramod Mandloi,Meghna Desai,Siddharth Dhawan,Dinesh Hingoo
Humjoli,1970,131.0,"Comedy, Drama, Romance",5.9,84.0,Ramanna,Jeetendra,Leena Chandavarkar,Pran
Humkadam,1980,124.0,"Musical, Drama, Family",6.7,26.0,Anil Ganguly,Rakhee Gulzar,Parikshit Sahni,Biswajit Chatterjee
Humko Deewana Kar Gaye,2006,155.0,"Drama, Romance",5.2,3.0,Raj Kanwar,Akshay Kumar,Katrina Kaif,Bipasha Basu
Humko Tumse Pyaar Hai,2006,128.0,"Drama, Romance",4.8,552.0,Bunty Soorma,Arjun Rampal,Ameesha Patel,Bobby Deol
Humlaa,1992,131.0,"Action, Drama",4.7,51.0,N. Chandra,Ashok Kumar,Dharmendra,Anil Kapoor
Humne Jeena Seekh Liya,2007,149.0,Drama,6.9,51.0,Milind Ukey,Omkar Bhatkar,Siddharth Chandekar,Gaurav Chopra
Humne Pyar Kiya,1991,131.0,Romance,6.0,25.0,Romi Bhai,Ajinkya Deo,Jaya Mathur,Shyamala
Humpty Sharma Ki Dulhania,2014,133.0,"Comedy, Drama, Romance",6.0,11.0,Shashank Khaitan,Varun Dhawan,Alia Bhatt,Ashutosh Rana
Humraaz,2002,173.0,"Action, Musical, Romance",6.4,3.0,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Bobby Deol,Akshaye Khanna
Humsafar,1953,131.0,"Drama, Romance",7.9,9.0,A.N. Bannerjee,Chetan Anand,Dev Anand,Kalpana Kartik
Humsaya,1968,131.0,"Action, Drama, Mystery",6.4,18.0,Joy Mukherjee,Mala Sinha,Joy Mukherjee,Sharmila Tagore
Humse Badhkar Kaun: The Entertainer,1998,131.0,"Action, Comedy",3.3,119.0,Deepak Anand,Sunil Shetty,Saif Ali Khan,Sonali Bendre
Humse Hai Zamana,2004,131.0,Action,6.0,25.0,Sonali Joshi,Kamalakar,Satya Prakash,Pran
Humse Na Jeeta Koi,1983,120.0,Comedy,5.3,9.0,Shibu Mitra,Amjad Khan,Randhir Kapoor,Raj Kiran
Humse Na Takrana,1995,131.0,Action,6.0,25.0,Bala Krishna,Raghuvaran,Rambha,Roja
Humshakal,1992,131.0,"Action, Comedy, Drama",5.3,24.0,Kalpataru,Shammi Kapoor,Vinod Khanna,Meenakshi Sheshadri
Humshakal,1974,142.0,"Thriller, Mystery, Family",6.1,38.0,Jambulingam,Rajesh Khanna,Tanuja,Moushumi Chatterjee
Humshakals,2014,159.0,"Comedy, Drama, Romance",1.8,7.0,Sajid Khan,Saif Ali Khan,Riteish Deshmukh,Ram Kapoor
Hungama,1971,131.0,Comedy,7.1,39.0,S.M. Abbas,Kishore Kumar,Vinod Khanna,Zeenat Aman
Hungama,2003,153.0,"Comedy, Drama, Romance",7.5,13.0,Priyadarshan,Akshaye Khanna,Aftab Shivdasani,Rimi Sen
Hungama 2,1991,131.0,Comedy,6.0,25.0,Priyadarshan,Paresh Rawal,Shilpa Shetty Kundra,Meezaan Jafri
Hungama Bombay Ishtyle,1978,131.0,Comedy,6.0,25.0,Siraj Ayesha Sayani,Mohan Agashe,Dilip Chandiwalo,Mohan Gokhale
Hungama in Dubai,2007,131.0,Comedy,6.2,19.0,Masood Ali,Massod Ali,Masti Ali,Aziz Naser
Hungama on Honeymoon Hills,2017,131.0,Comedy,6.0,25.0,Narayan Chauhan,Ashmita Kaur Bakshi,Rahul Singh Chauhan,Slesha Mishra
Hunterrr,2015,141.0,"Comedy, Romance",7.0,5.0,Harshavardhan Kulkarni,Gulshan Devaiah,Radhika Apte,Sai Tamhankar
Hunterwali,1959,131.0,Drama,6.0,25.0,B.J. Patel,Babu,Habib,Jeetbala
Hunterwali,1972,131.0,Action,6.0,25.0,Padma Khanna,Jyothi Lakshmi,Tyagraj,Pran
Hunterwali 77,1977,131.0,Action,6.0,25.0,Mohan Choti,Asrani,Bindu,Mohan Choti
Hunterwali Ki Beti,1943,131.0,Adventure,6.0,25.0,Batuk Bhatt,Fearless Nadia,Rekha,Pran
Hurdang,1991,131.0,"Drama, Romance",6.0,25.0,Nikhil Bhat,Sunny Kaushal,Nushrat Bharucha,Vijay Varma
Hurricane Express,1961,131.0,Action,6.0,25.0,M.H. Doctor,Azaad Irani,Indira,Helen
Hurricane Hansa,1937,145.0,Drama,6.0,25.0,R.N. Vaidya,Fearless Nadia,Husn Banu,Sardar Mansur
Hurricane Special,1939,131.0,Action,6.0,25.0,Chunilal Parekh,Master Vithal,Vatsala Kumthekar,Urmila
Husband Material,2018,156.0,"Comedy, Drama, Romance",6.9,7.0,Anurag Kashyap,Taapsee Pannu,Abhishek Bachchan,Vicky Kaushal
Hush,2021,131.0,Thriller,6.0,25.0,Ashu Trikha,Parthaa Akerkar,Malti Chahar,Kitu Gidwani
Husn aur Ishq,1966,131.0,"Adventure, Fantasy",6.4,14.0,Naresh Kumar,Sanjeev Kumar,L. Vijayalakshmi,Indira
Husn Aur Talwar,2002,105.0,Thriller,6.0,25.0,Sunny Kapoor,Ali Khan,Anil Nagrath,Sapna Sappu
Husn Banu,1956,131.0,Fantasy,6.0,25.0,Aakkoo,Habib,Hiralal,Mahipal
Husn Bewafa,2006,131.0,Thriller,6.0,25.0,Devendra Dhua,Anuj Gill,Milind Gunaji,Sangeeta Tiwari
Husn Ka Bazaar,1991,131.0,Drama,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Husn Ka Chor,1953,131.0,"Adventure, Fantasy",6.0,25.0,Mahipal,Abdullah,Aftab,Arti
Husn Ka Ghulam,1966,131.0,Drama,6.0,25.0,Kedar Kapoor,Krishna Kumari,Madhumati,Maruti
Husn Ka Gulam,1933,131.0,Drama,6.0,25.0,Jagatrai Pesumal Advani,Sardar Akhtar,Jani Babu,Gulab
Husn Ke Jalwe,2003,131.0,Thriller,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Husn Ke Lootere,2001,131.0,Action,3.8,6.0,T.S. Mohan,Charan Raj,Sathaar,Pran
Husn Tera Matwala Hai,2004,131.0,Thriller,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Husn: Love and Betrayal,2006,130.0,Thriller,6.0,25.0,Imtiaaz Khan,Beena Banerjee,Ramesh Deo,Sameer Dharmadhikari
Hyderabad Blues,1998,85.0,"Comedy, Drama, Romance",7.2,903.0,Nagesh Kukunoor,Nagesh Kukunoor,Rajshri Nair,Vikram Inamdar
Hyderabad Blues 2,2004,131.0,"Drama, Comedy",6.1,229.0,Nagesh Kukunoor,Tisca Chopra,Jyoti Dogra,Anuj Gurwara
Hyderabad Ki Nazneen,1952,131.0,Drama,6.0,25.0,Manher Desai,Nigar Sultana,Murad,Durga Khote
Hyderabad Nawabs,2006,118.0,Comedy,6.8,118.0,Lakshmikanth Chenna,Masti Ali,Chitram Basha,Vandana Gupta
Hyderabad Nawabs 2,2019,125.0,Comedy,5.2,27.0,Mama,Gullu Dada,Farha Khan,Aziz Naser
I - Proud to be an Indian,2004,129.0,"Action, Crime, Drama",6.1,526.0,Puneet Sira,Sohail Khan,Tim Lawrence,Mona Ambegaonkar
I Am,2010,95.0,Drama,6.8,948.0,Onir,Juhi Chawla,Rahul Bose,Radhika Apte
I Am 24,2010,118.0,"Comedy, Romance",6.0,1.0,Saurabh Shukla,Rajat Kapoor,Ranvir Shorey,Neha Dhupia
"I Am Alone, So Are You...",2019,117.0,Romance,6.5,897.0,Harish Vyas,Anshuman Jha,Zareen Khan,Ravi Khanvilkar
I Am Banni,2019,130.0,Drama,6.0,25.0,Nitin Chaudhary,K.K. Makwana,Gaurav Garg,Amanda Rosario
I Am Draupadi,2021,110.0,Drama,6.0,25.0,Pawan k Shrivastava,Bidita Bag,Mayur More,Rajit Kapoor
I Am Kalam,2010,88.0,"Comedy, Drama, Family",8.0,3.0,Nila Madhab Panda,Nilamadhab Panda,Gulshan Grover,Harsh Mayar
I Am Mr Mother,2015,90.0,"Drama, Romance",5.7,23.0,I.A. Siddique,Mehul Adwani,Dheeraj Bishnoi,Munmun Guha
I Am Not a Begger,2018,120.0,Drama,6.0,25.0,Vijay Pal,Aditya Sharma,Paris Keswani,Ehsan Khan
I Am Not a Player,2021,131.0,Comedy,6.0,25.0,Chand Mehta,Arjun Kapoor,Shubhangi Latkar,Manoj Bakshi
I Am Not Blind,2020,101.0,"Drama, Family",7.2,12.0,Govind Mishra,Vinay Ambast,Amit Ghosh,Shikha Itkan
I Am Not Devdas,2017,131.0,Comedy,6.0,25.0,Vishal Taneja,Farhana Fatema,Ayushi Singh,Apoorv Vij
I Am Offended,2015,102.0,Documentary,8.6,17.0,Jaideep Varma,Tanmay Bhat,Cyrus Broacha,Vir Das
I Am Roshni,2018,80.0,"Drama, Family, Romance",5.4,11.0,Manoj J. Bhatia,Suresh Thomas,Ankita Parihar,Yash Rajpara
I Am Zero,2019,131.0,Drama,8.2,8.0,Suraj Tiwari,Raza Murad,Umesh Bajpai,Shradha Singh
I Did Not Kill Gandhi,2005,100.0,Drama,7.3,700.0,Jahnu Barua,Anupam Kher,Urmila Matondkar,Parvin Dabas
I Don't Luv U,2013,120.0,Romance,6.0,25.0,Amit Kasaria,Jass Bhatia,Ruslaan Mumtaz,Chetna Pande
I Hate Luv Storys,2010,129.0,"Comedy, Drama, Romance",5.6,7.0,Punit Malhotra,Imran Khan,Sonam Kapoor,Sammir Dattani
I Know You,2020,98.0,Horror,3.5,20.0,Jayveer Panghaal,Agast Anand,Nishant Bhardwaj,Muzahid Khan
I Love Desi,2015,131.0,"Comedy, Romance",6.0,25.0,Pankaj Batra,Shakti Anand,Arun Bali,Vedant Bali
I Love Dubai,1991,131.0,"Action, Comedy, Thriller",6.0,25.0,Ikram Akhtar,Exhan Khan,Shanti Dynamite,Shakti Kapoor
I Love Julie,2002,131.0,Thriller,6.0,25.0,V.K. Singh,Jasdev,Malvindra Jit,Ali Khan
I Love NY,2015,127.0,"Comedy, Romance",3.4,648.0,Radhika Rao,Vinay Sapru,Sunny Deol,Kangana Ranaut
I Love You,1992,131.0,"Drama, Romance",3.7,9.0,Vara Prasad,Sabah,Shobha,Amrish Puri
I Love You,1985,131.0,Romance,6.0,25.0,Prakash Verma,Sahila Chaddha,Gulshan Grover,Rajan Sippy
I Love You Teacher,1989,123.0,Thriller,6.0,25.0,Bhanupriya,Krishna Ghattamaneni,Charan Raj,Pran
I Love You Welcome Hero,2004,131.0,Romance,6.0,25.0,Sonali Joshi,Annu Prabhakar,Rekha,Pran
I See You,2006,122.0,"Comedy, Drama, Fantasy",4.1,1.0,Vivek b Agrawal,Arjun Rampal,Vipasha Agarwal,Chunky Panday
I Was Born in Delhi,2011,93.0,Drama,3.7,7.0,Bishnu Dev Halder,Ashok Kumar,Rekha,Pran
I Wonder...,2009,70.0,Documentary,6.0,25.0,Anupama Srinivasan,Ashok Kumar,Rekha,Pran
"I, Me aur Main",2013,108.0,"Comedy, Drama, Musical",4.6,1.0,Kapil Sharma,John Abraham,Chitrangda Singh,Prachi Desai
I.D.,2012,87.0,Drama,6.9,152.0,Kamal K.M.,Geetanjali Thapa,Murari Kumar,Shashi Sharma
Ibrat,1954,131.0,Drama,6.0,25.0,Khatun,Chandra Kumar,Prem Kumar,Sheikh
Icarus,2020,99.0,Thriller,6.0,25.0,Abhijeet More,Kiran D Patil,Nidhi Garg,Sagar More
Ice Ice Mighty,2015,131.0,Animation,6.0,25.0,Rosauro Adorable,Ashok Kumar,Rekha,Pran
Ichadhari Shaitan,2000,131.0,Horror,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Ichchhaye Hazar,2000,131.0,Thriller,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Idam Jagath,2018,126.0,"Action, Thriller",5.4,115.0,Anil Srikantam,Sumanth,Anju Kurian,Darbha Appaji Ambarisha
Idd Ka Chand,1932,131.0,Drama,6.0,25.0,Anand Prasad Kapoor,Sardar Akhtar,Alibux,Pran
Idd Ka Chand,1964,131.0,Drama,6.0,25.0,Nanubhai Vakil,Chitra,Vijay Dutt,Hiralal
Idd Ka Salaam,1976,131.0,Drama,6.0,25.0,Ajit Singh Deol,Dhanraj,Ranjan,Sanjana
Idd Mubarak,1988,131.0,Drama,6.0,25.0,Dev Dutt,Jankidas,Leela Mishra,Kanchan Rawal
Identity,2019,99.0,Mystery,6.0,25.0,Amit Chauhan,Naina Mishra,Anu Simran,Surkhab Sandhu
Identity Card,2014,92.0,"Comedy, Drama, Sci-Fi",5.9,63.0,Rahat Kazmi,Tia Bajpai,Furqan Merchant,Raghuvir Yadav
Idgah,2017,77.0,"Drama, Family",6.0,25.0,Piyush Panjuani,Ziya Azizi,Shabana Azmi,Shahid Lateef
Idiot Box,2010,131.0,"Comedy, Drama",4.5,38.0,Sunanda Mitra,Sushant Singh,Hrishitaa Bhatt,Milind Gunaji
If She Built a Country,2018,59.0,Documentary,6.0,25.0,Maheen Mirza,Ashok Kumar,Rekha,Pran
Iftikhar,2022,131.0,Drama,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
III Smoking Barrels,2017,127.0,Drama,6.5,117.0,Sanjib Dey,Subrat Dutta,Indraneil Sengupta,Mandakini Goswami
Ikke Pe Ikka,1994,134.0,"Action, Comedy",3.6,631.0,Raj N. Sippy,Akshay Kumar,Shanti Priya,Prithvi
Ilaaka,1989,161.0,"Action, Drama",4.7,147.0,Aziz Sejawal,Mithun Chakraborty,Sanjay Dutt,Madhuri Dixit
Ilaaka,1986,190.0,Action,6.0,25.0,R. Krishnamurthy,Madhavi,Sanjeev Pandey,Rajinikanth
Ilaaka Kishorganj,2018,131.0,"Action, Thriller",5.9,18.0,J. Nutan Punkaj,Rohit R.K.,Shikha Swaroop,Deepak Lohar
Ilzaam,1986,164.0,"Drama, Family",6.0,95.0,Shibu Mitra,Shashi Kapoor,Shatrughan Sinha,Raj Kiran
Ilzaam,2007,90.0,Action,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Ilzam,1954,133.0,"Drama, Family, Romance",6.1,7.0,R.C. Talwar,Kishore Kumar,Meena Kumari,Jagdish Kanwal
Ilzam,1970,133.0,"Action, Crime, Drama",6.0,25.0,Kamran,Dara Singh,Sanjana,Prem Nath
I'm in Love,2007,140.0,Action,9.2,36.0,Tom Alter,Bobby Darling,Anil Dhawan,Kiran Juneja
Imaan,1974,131.0,Romance,7.4,27.0,B. Padmanabham,Sanjeev Kumar,Leena Chandavarkar,Johnny Walker
Imaandaar,1987,152.0,"Action, Crime, Drama",5.4,62.0,Sushil Malik,Vikas Anand,Birbal,Chandrashekhar
Immaan Dharam,1977,156.0,"Action, Drama",5.7,177.0,Desh Mukherjee,Shashi Kapoor,Sanjeev Kumar,Amitabh Bachchan
Impatient Vivek,2011,131.0,"Comedy, Drama, Romance",2.1,76.0,Rahat Kazmi,Vivek Sudershan,Sayali Bhagat,Ronnaoq Ahuja
Imperial Mail,1939,131.0,Action,6.0,25.0,Daud Chand,R.N. Vaidya,Baburao Pahelwan,Shah Jehan
Imtihaan,1994,152.0,"Action, Drama, Romance",5.3,338.0,Harry Baweja,Sunny Deol,Saif Ali Khan,Raveena Tandon
Imtihaan,1949,131.0,Drama,6.0,25.0,Mohan Sinha,Surendra,Jugnu,Madhubala
Imtihan,1974,153.0,"Family, Drama",7.4,63.0,Madan Sinha,Vinod Khanna,Tanuja,Deven Verma
